thesis_id,rank,neighbor_id,cosine_similarity
2713409600,9,2874581376,0.7674
2713409600,10,2728153968,0.7657
2729058492,1,2874066775,0.9002
2729058492,2,2873205542,0.8968
2729058492,3,2737859073,0.8854
2729058492,4,2727113782,0.8664
2729058492,5,2727113782,0.8664
2729058492,6,2496058534,0.8625
2729058492,7,2723401334,0.8584
2729058492,8,2686501875,0.8574
2729058492,9,2686501875,0.8574
2729058492,10,2872727749,0.8549
2732753043,1,2727400838,0.7892
2732753043,2,2451139203,0.7672
2732753043,3,2596404219,0.7531
2732753043,4,2596404219,0.7531
2732753043,5,2737744423,0.7382
2732753043,6,2720036384,0.6945
2732753043,7,2872572186,0.6897
2732753043,8,2691928322,0.6807
2732753043,9,2686111660,0.6782
2732753043,10,2707583766,0.6745
2727629197,1,2693243209,0.855
2727629197,2,2712718151,0.8156
2727629197,3,2737949244,0.8144
2727629197,4,2737949244,0.8144
2727629197,5,2875292588,0.8097
2727629197,6,2596670068,0.7827
2727629197,7,2873813957,0.7767
2727629197,8,2597009510,0.7697
2727629197,9,2713463394,0.7622
2727629197,10,2665888919,0.7592
2727903511,1,2483999973,0.8758
2727903511,2,2483999973,0.8758
2727903511,3,2448106657,0.843
2727903511,4,2739380305,0.842
2727903511,5,2727687721,0.8267
2727903511,6,2727687721,0.8267
2727903511,7,2691928251,0.8241
2727903511,8,2691928251,0.8241
2727903511,9,2460637080,0.8202
2727903511,10,2727978265,0.8151
2640810128,1,2691928235,0.8545
2640810128,2,2738034840,0.8375
2640810128,3,2452825565,0.8233
2640810128,4,2452825565,0.8233
2640810128,5,2611061334,0.8228
2640810128,6,2611061334,0.8228
2640810128,7,2727516974,0.818
2640810128,8,2453517859,0.8056
2640810128,9,2496058514,0.8017
2640810128,10,2496058514,0.8017
2597213960,1,2698567287,0.9381
2597213960,2,2607128906,0.6749
2597213960,3,2451175610,0.64
2597213960,4,2515824007,0.6302
2597213960,5,2515824007,0.6302
2597213960,6,2515824007,0.6302
2597213960,7,2714356186,0.6268
2597213960,8,2872727837,0.6252
2597213960,9,2727113774,0.6245
2597213960,10,2873041230,0.6238
2726980860,1,2642153169,0.7015
